aabasu	nombre de hombre
desplaza	ntos hacia el este
ades	debemos ar bien
ades	equív jaike
ades	hay que
ades	jaikemagkre bejtaara
ades	jaine
ades	jaite aux hay que
ades	tú tienes que nder
'de	jaine
'de	jaise aux hay que
val	hay que
val	turas tr
rap	nc tados
sangre	consecuentemente
sangre	la habitación y
jarikati'	htikis vrb
enamo	ha rar
enamo	seducir
tem	acabarse
tem	agotarse
tem	refiriéndose a
sala	eldi completamente
sala	enteramente
total	mente
ven	concluir una tarea
ven	terminar untrabajo
cier	jarta concluir una tarea
cier	males
cier	terminar un
tien	los insectos
jatta	al final
jatta	de último
jatta	dos ma
jatta	kogg dukkra
jatta	s adv cls último
tar	azul
jatiki	desde
jatiki	hasta
pulsera	hecha en algodón
bittakra	tres ma
jeen	así soñó
jeen	pegar
jau	vi vrb
kaa	bint espirar
kaa	camisa
kaa	circula rakanta
kaa	clasificador
kaa	continentes
kaa	estar
kaa	falta kaaw de completitud
kaa	h m
kaa	hoja vegetal
kaa	ia
kaa	impar
kaa	limuttu
kaa	num
kaa	otro
kaa	paapelu
kaa	praata
kaa	refiriéndose a
kaa	ron
kaa	sangregado
kaa	sentirse
kaa	ser
kaa	ta
kaa	taanti nom
kaa	taauku
kaa	tabaco
kaa	tomar aliento
kaa	vrb
macizos	la patilla
macizos	las piedras
macizos	los calabazos
macizos	los pocillos
tre	refiriéndose a e
cal	ceiba roja
cal	cor fragmentarse
cal	eros
cal	refiriéndose a objetos
jennika	vrb
jegayo	jiikati ahogarse
tim	c nom la carretera
tim	camino explayado
tim	jesucristo
pré	callejón
pré	camino explayado
pré	hija
jiilariy	noa jiicha
super	c ficie
super	hija
jiika	apl st radio
jiika	cuántos hijos tienes oral
jiika	grabadora
jiika	transmisor
jiika	waacha too
jiika	ón taarakakha
jiina	jiiwa vrb
jiinaka	salir
jiirara'	boyero
fissa	guardacaminos
fissa	huyentona
fissa	ramada
wee	code wee
wee	grutia
wee	verano
wee	waya
wee	weenok kowe wekwe
jissanekaa	joj vrb
jiya	avergonzarse
jiya	sentir pena
jiyakaa	vrb
jojl	tigre
ingerir	tabaco
jonta	hueco
jonta	perforado
joññokwa'	a cuello
joog	joogkowellu
joog	mico
kogkogkowellu'	lagartijas
kogkowellu	lagartijas
kogkowellu	varias especies de
lagar	s gecónidos lepidoblepharis
sanctae	rartae
sanctae	sartae
sanctae	thecadact ylus rapicauda
sanctae	thecadactylus rapicauda
kopiyo	especie de lagarto anolisauratus
kopiyo	loba
kowellu'	lagartijas
kowellu'	varias especies de
joogkowellu	espada
joogkowellu	lagartija
joop'	familia muscidae
joop'	foco
joop'	mosca
lin	mosca
joor'	nc nombre de hombre
haj	nc bri
haj	raasog
haj	raasonti
haj	rakkwata
joonikra'	conikra nompl ganado
joonikra'	jarrete
koroto'	lombre de hombre
oyoori'	jopo
antepone	a cuantificadores numerales para
pal	las avispas
pal	mas
joorodz	ron
joorokragga'	nom
jooromaajna	ef
jooromaajna	grupos de objetos colgados
jooromaajna	num jo tres
jooromaajna	refiriéndose a objetos
jooro	de sabor picante
jooro	e prori adj picante
jooro	ef
jooro	erguido
jooro	estar
jooro	falta de completitud
jooro	grupos de objetos colgados
jooro	gruposde jo objetos colgados
jooro	impar
jooro	jooromujna num dos
jooro	otro
jooro	proteyeemekenta num cinco
jooro	pundungo
jooro	refiriéndose a objetos
osobriri	chupado
jootikarawakra'	mamón cotuplín
joowariya	baño
joowariya	los arroyos
partici	ovejo
joowe'e	campanitas
ralisadapar	rést
muu	apiadarse
muu	condolerse
muu	encariñarse
refe	nom caney
refe	palma africana
refe	palma amarga
una	ad cantidad originalmente mayor
una	codorniz
una	estando atención weenoo
una	kkaowaya
una	vi hoja de palma
jukkati'	al nom puerta
jukkati'	entrada de la casas
catutikkwi	iigkri
jukkru'	corazón
jou	veranillo
jou	veranito de san juan
llu	as aproximadamente entre junio
llu	de liter el medio
llu	julio
llu	veranillo
llu	veranito de san juan
cla	junco
acuá	aguja
acuá	yuca
juuma'a	juur vrb
juumeriya	arrogero
juumeriya	arroyero
juumeriya	ronda
juumeriya	vara de piedra
ananta'	auyama
ananta'	kra im lorcón central
ananta'	oropéndola
ananta'	ruaco
ammi	loorensukra
ammi	ra
ammi	ral que kra
egowi	odear
estante	canastos
estante	rías
kaa'	pechos
kaa'	senos
ittiya'	alacrán
ittiya'	especie de planta
ittiya'	especie de planta silvestre
ittiya'	kaachuda nompl guacamaya
ittiya'	raicilla
ittiya'	waagl zorro macho
kaadela'	bejuco candela
kaadi'	sangregado
kaagwaya'	polvillo
figaraza	kaechuda
kaakago'	anti
kaakago'	ef kaakrimata
kaakago'	unta
kaakago'	ustakri
kaakago'	uukri
kaakago'	uumata
aamaajna'	continentes
aamaajna'	num tres
aamaajna'	refiriéndose a objetos anchos
kallo'	bejuco catabre
aapato'	ratón heteromys anomalus
hoja	vegetal
kaarakolikra'	caracolí
kaarakolikra'	garcero
kaarakolikra'	marimonda
kaaratakrara'	huevo de gato
kaaratakrara'	huevo de morrocogo
vegeta	kaaw ción arbustiva
kaarikra'	achiote
ore	achiotero
ore	kraarikra
ore	kroosu lana
ore	llana
ore	na
kaata	salir
pooro	niya
pooro	yannaka
objetos	anchos
objetos	continentes
objetos	cóncavos
objetos	kragga plural noción de
objetos	los calderos
objetos	redondos
objetos	refiriéndose
objetos	vi grandes
objetos	vri esféricos
gui	ensis
kissu	kreepog
kissu	ookranta
kissu	rooro
kissu	suri
señño	onte
kaawicho'	hiel
kaawuya	cabuya
aproximada	bisk abuelo
aproximada	cañandonga
aproximada	degustar
aproximada	en yaan
aproximada	en yaau
aproximada	familia
aproximada	hy kraa chorida
aproximada	igwaya cinturón de algodón
aproximada	wakkwi nen inferior
kaggra'	flecha
kaggra	constelación de estrellas
kaggra	nebulosa de orión
kaggraya'	corozo
kaggraya'	gallinazo
galli	gallinas
galli	nazo bactris major
galli	pavos
ggrini'	padre
'ggakwa	carracachero
'ggakwa	guasale
kaawa	cigarrón
kaawa	con yero
kaawa	horqueta
kaawa	kissuguuri
kaawa	kreepog
kaawa	ookranta
kaawa	palo
kaawa	seññomonte
kaawa	trupillo
curcu	palizadas
curcu	veranillo
curcu	veranito de san juán
reeroti'	estantes
reeroti'	horcoes
bukkra	asog
bukkra	buukrajooni
bukkra	joonawa
bukkra	kaapato
bukkra	raasonti
bukkra	rakkwata
bukkra	uttu
ribri	burro
ribri	cabios
rikati	canoa
bebidas	babilla
cai	makwati
cai	sog
cai	uma
ussara'	bolloblanco
ussara'	bollomojaso
pigara	danta
ungu	burro de selva
phas	deca
phas	isa isa
phas	matodea
phas	tie kuurupretto
jgawe'e	prender
jge'e	arder
jge'e	refiriéndose al fuego delos
fogo	andar
fogo	malambo
maa	allá viven tus padres
maa	ca remos más maiz
maa	ci
maa	ei
maa	garakra mpl municaca
maa	lapa
maa	más
maa	palo de agua
maa	papose
maa	ñaawikra
kajkranta'	enjaulado
kajkranta'	hombre solo
kajkuusagra'	primavera
apro	junio
apro	mapa ximadamente entre mayo
apro	pisingo
kassa	f su
kassa	hoyador
kassa	hu kassa kassa nom
kassa	krawa
kassa	no diente canino
kassa	nu alanca
kassa	qu manta
kassa	sakkramanta
kassa	sontowa
kajkwari	penca
ajnara'	uayacán chaparro
rimiro'	akrabri nompl lorcones
rimiro'	estantes
assi	aíz de árbol
hormiga	diibri
hormiga	especie de
hormiga	traquitraqui
maaza	aromo
maaza	carpinterito
maaza	guayacán chaparro
kajsantasantari	vara de humo
kajsantasantari	vara de león
kajsantasantari	vara santa
kak	yuca
akkrara'	vara santa
vakkero'	bolloblanco
vakkero'	bollomojoso
varuunisa	las semillas rbóreas
kawero	acagúero
kawero	departamento de magdalena
kakkewa	apodo
kakkewa	de nom rej nombre
telefo	solicitar
parti	cular
parti	wikaagra yowi
pol	cascabel
tallos	no de color rojo
sommoda'	lengua de venado
yuca	delgadas
yuca	nta tizón denyatta
yuca	vre de hojas largas
kanne	bejuco
kanne	bejuco tierra
kanne	iguana
unguis	bejuco uñita
unguis	canasto
unguis	m st canasto
qua	al drivalvis
kanta	de cls gre
kanta	no vrb
kantabru'	n nom
kantawa'	montaña
kantawa'	murciégalo de monte
kantawa'	vampiro
gwajgowanisa	no
cor	goler descuartizar animales corag
cor	ikwa s jar
cor	macanear
cor	rié tar selva
dis	esposa
dis	esposo
dis	paral
dis	quien encarga del café
dis	quien sca el café
dis	restos en línea
veinte	pie
tal	empeine del pie
cual	er tipo de calzado
katti	bitaciones
katti	calabazos
katti	clasificador
katti	e kattimujna
katti	en general
katti	falta completitud
katti	habitaciones
katti	habitaciones eq
katti	habitáculos y
katti	impar
katti	objetos
katti	otro
katti	refiriéndose a casas
katti	refiriénkata dose a casas
katto	calabazos
katto	habitaciones pa
katto	num d dos
katto	refiriéndose a casas
habitacio	calabazos
hatti	m erna
kattukwadaggera	r nom
kattukwa	deera
kattukwa	keeko daggera
kattukwa	sooweda buurari
kattukwa	sooweda deera
sooweda	ad deera
keera	extenso
keera	no ancho
keert	que
keert	sólo hilaba algodón
keegati'	bajar los humos
keegawiti'	bajar los humos
keegore'	pisingo
keegori'	garrapata
keegori'	olera
keegori'	ra
his	luna
his	rias tradicionales
domésti	acuartelar
exten	ad desagradable
exten	graw dido
exten	pararse
exten	rtado
exten	sentado
exten	y ay koegur
exten	yacer
keesa'	cigarrón
ceram	al bycidae
kej	menos
kejmeta	delicado de salud
kejmeta	vi adj f débil
kii	no hables
kii	nokenta
kii	papaya
kii	simple
vene	ado
vene	copey
vene	mente
pigera	ya
kiikwa'	tinaja
cerámi	cc cos
natura	fiera
natura	z identidad
natura	za
kwreyanisa	empo de sembrar
non	cosecha
non	frutos de las especies
liter	compras
agu	vrb
domesti	coclada
emplu	cagada de pajarito
emplu	excremento de pajaro
rutina	pro
ooyo	por qué soñé así
ooyo	riga
kisa	bre de hombre
kisa	ces
kisa	continentes kaamujna objetos
kisa	de vez en cuando
kisa	dos
kisa	jetos anchos
kisa	na s veces
kisa	redondos waamujna
kisa	refiriéndose a lapsos porales
kisa	seres u objetos ricos
kisa	vrb
cua	tre vrbint tem trabajar
mil	trabajo
imie	peón
def	quinina
def	época laqueza
ere	chinchorro
septe	kitt natum
véase	oso caballo
kissuta	nombre de hombre
a'asu'	enuna icasión
a'asu'	una vez
kiitroga	pante
kiitroga	rrabajaré un día
kogg	manilla
kogh	loro
pen	arroyo grande
stri	idae
otowiru'	ct kogkra
otowiru'	non kogkratikkwi
ratikkw	kogkra
kokke	despacio
jukkrusa	dedo corazón
jukkrusa	konne dedo medio
mañña	konne risu
prés	cor nom dedo índice
prés	konnew kokkwa kweerini
prés	nom dedo medio
prés	num espe dos
carac	suero
carac	ticas de un objeto
preci	ta
koo'	chicharra
bussada'	chicharra
cica	didae
koo	koo
koo	ma bru ennaka
koona	pargatera
peeña	mosca real
gra	animales
gra	objetos
gra	radio
gra	taaukul badora
gra	tensis
compartir	dividir
koogra	cla sificador
koogra	falta fosil de completitud
koogra	familia
koogra	grupo de
koogra	impar
koogra	lom koogramujna
koogra	otro
koogra	refiriéndose a
koogra	tronchar
koogra	vrb koograte
reco	maíz rrido
reco	num koo uno
aire	de familia
aire	ef
agrupa	a ciones de seres
noh	c bruguti
noh	coco
noh	compadrito
noh	ha nompl plea cocotero
noh	koona uita
noh	trs ger algodón
relativamente	lejano
kosso'	vrb
kraa	ad refiriéndose a mazorcas
kraa	adj kran mazorca grande
kraa	clasificador
kraa	ef
kraa	falta de completitud
kraa	impar
kraa	kowata antari p nom
kraa	los kraamujna
kraa	no perico
kraa	orar
kraa	refiriéndose a mazorcas
kraa	tra
horida'	perico
conserva	mental
normas	hermana
normas	prima
cola	auxiliar
cola	rar
cada	canto
cada	m ed tor
kraas	ad mazorca de grantamaño
kraas	cacao
kraas	num no dos
kraas	refiriéndose a mazorcas
kro	cacique
jooyalisa	a mpl ora
tinc	la
sobre	turales
cinco	refiriéndose a mazorcas
oracio	los rezos
oracio	ol nes
kraggwika	nu vrb
kraj	contrastantes
mari	si posas
kran	a quebrar
kran	romper sin valerse de
herra	los ot calabazos
kranne	clasificados
kranne	falta de completitud
kranne	fila
kranne	impar
kranne	jeros dispuestos en línea
kranne	jtro
kranne	nemujna m os
kranne	neteyeemekenta jum nco
kranne	sin ramas
krañagoye'	kreep vrb
kree	ef
kree	nudillos
kree	refiriéndose a codos
kree	roun dillas
kree	tobillos
kree	vf nom an articulación
kreekakkwi	nom
kreekenta	voluntarioso
kreey	covador
hie	pundungo
joo	apli o
joo	estriado
joo	pero
joo	rugoso
mesem	nibiscayennensis
kreeya'	irritante
kreeya'	kr fastidioso
kreeya'	molesto
kree'gaggwra	kr codo
kree'gaggwra	sinéón
kregkrero	carpinteros
melano	dryocopus lineatus
melano	leucos
krejkaa	protegido o
krejkaa	sentirse respaldado
krejkakwa	apoyar
krejkakwa	ayudar a alguien
krejkakwa	respaldar
ejtuwaya'	esposo
ejtuwaya'	quien respalda
ereda'	nombre de hombre
ewa	prést
ego	maltratar
e'ni'	tambalear
e'ni'	temblar
krigawiti'	rabiar
son	dl tikwari
kroo	de an gowi
kroo	toosukroori
kroo	wi
kroota	i j salva
kroorikra'	achiote
almace	esparcir achiote
kroori	aya
kroori	kroorimooya
kroori	kroorimooyaka
kroori	toosukroori
kroori	toosukroorí
kroori	waya
enferme	pl e
así	mono
koom	a pagritu
koom	moolakka
koom	moolakku
koom	rela wa
koom	ruchette
derrum	bar una casa
taba	dae
taba	nidae
kajbri	bei
kajbri	caián de río
kajbri	insecto del orden orthoptera
kajbri	kujbri
kajbri	opporo
kajbri	rokkrwa
kajbri	rokkwa
kajbri	sg
kajbri	sog
kajbri	ujbri
kajbri	uma
kajbri	waakwati
kroori'	insecto de la familia
kroori'	ábano
kutti'	bujío
kuppe'	kuugt prést
grí	entidades kuuke humanas
grí	num uno
grí	refiriéndose a seres
refiriéndose	animales
refiriéndose	coeedor pioos
refiriéndose	cucaracho
refiriéndose	matapiojos
refiriéndose	objetos agredi largos naakatimata
kuu	compa
kuu	compadre
kuu	matapiojos
kuu	sakagaabra
kuu	sakagatta
kuukwita	ku ordeñar el ganado
kuulimpakra'	puya de clavo
kuunsiwa'	guacamaya
kuunsiwakra'	algarrobo
rupretto'	matapiojos
sakabri	siigkri
sakabri	tigre
sakaduggra'	antitrago del pabellón
sakaduggra'	trago
auricu	ar
sakagaabra	cera
sakagatta	cera
sakakakkra	pabellón auricular
kwaa'	azul
cas	colmar un recipiente
kwza	n kuuyabri g vrb
cuer	liligowi
cuer	ltos o alargados
cuer	nudadas
cuer	objetos
cuer	s relativamente sólidos
cuer	éndose a trozos
san	guacamaya bandera
bollo	redondo
verti	num para tres
verti	objetos
verti	refiriéndose a seres
pla	des
pla	ef
pla	hum nos
pla	leña nos
pla	nos
kwaa	dom kwaati
kwaa	ef
kwaa	falta de
kwaa	impar
kwaa	kwaamujnz
kwaa	kwagw kwaateyeemekenta vrb
kwaa	objetos planos
kwaa	otro
kwaa	refiriéndose a tes
kwaa	seres
cases	num esta dos
cases	objetos
cases	refiriéndose a seres
kwaariyoriri	cuerpo plano
dose	bledo blanco
dose	mono
dose	num co uno
dose	objetos
dose	principio montari menos
dose	refiriéndose a seres
dose	ro
dose	sommo
dose	verdolaga
kwaj	macondo
kwajbr	vrb
recipien	calderos
kwajgri	kwan vrb
inten	kwee cionalmente
inten	kwekkw cionalmente
kwakwi	no vrb
kweg	no envasar
kwanna	no vrb
kwanna	waaw gee
kwekkweri	grande
kwii'	de morrocoyo
kwiika	tío
kwiikra'	nom
kwitta	cavar
kwitta	éa vrbtrs
tubérculos	comola yuca
tubérculos	el ñame
tubérculos	la batata
alir	adj esparcir tabaco escupiéndolo
kwraa	kwiiwita gu vrb
est	desenterrar
pegar	herir a alguien mediante
kwrannari	s cazar
kwree	vri vrb
kwreekwa	ka vrb
redon	dos u ovalados
ssificador	rujgaka
ssificador	thurium crassinerviun
bejkaa	bienestar
bejkaa	prosperidad
bejkaa	waa
waa	angustia
waa	cha taara
waa	cé
waa	d refiriéndose a seres
waa	estar
waa	haariwaa
waa	imp nc ser
waa	impar
waa	mar melkwi
waa	niani lguana iguana
waa	objetos esféricos mu
waa	objetos redondos
waa	otro
waa	redondos
waa	refiriéndose a seres y
waa	refiriéndose a va seres
waa	tiecm waana
waa	waacha brakaa
waa	waga waati
waa	zozobra
yagka	casa de base redonda
yagka	keera
expre	pa
expre	san
lakkra	espinilla
lakkra	nom salirse de espalda
clasificador	inal que se
pospone	asu
pospone	concavidad
pospone	lita
pospone	motocicleta
'arma	o dasypus novemcinctus
sificador	cabezajattakra
sificador	ja upo
sificador	jaakra
sificador	vía actea
referen	animales u objetos
yugkwi	ga
yugkwi	grupo de mujeres
tussa	de ex krawa
ocurren	uutakri
cls	kwa clasif cls alos
icador	ancha
icador	ao carreteable
icador	e g bijlakwanta
icador	el pélvico
icador	el sacro
icador	jiibrekwari
icador	macana
icador	maciza
icador	rabo
icador	taakwanta
icador	tabla dera
biiyan	dewe
biiyan	leopardus wiedii
biiyan	rdus pardalis
biiyan	tigrillo puma yagouaroundi
kwi	se clss sa
mul	icidad
laa'	antoñ
laakwi	murciégalo
mur	ciélagos
laaniki	afuera
laaniki	exterior
laate'e	observarse en la lejanía
laawi	murciégalo
laawijaataka'	murciégalo de casa
laawikra'	arcoiris
laawikra'	coroncoro
laawikra'	maniapaloma
ladu	maíz cuba
laggri	demorarse
laggri	tardarse
laggati'	caerse
laggati'	refiriéndose a niños pequeños
lkati	lantaka vrb
cumpli	naja
anudan	armadillo
mamí	aki
mamí	akkrakoro
mamí	dentado cabassous centralis
mamí	fero desdentado cabassous centralis
mamí	lakkrakoro chorida
mamí	nón
mamí	ro desdentado dasypas novemcinctus
mami	vrb
rayado	con franjas uniformes
rayado	orlili apga denadas
serpiente	aaratakkewa
serpiente	bollon bobo
serpiente	carpinterito
serpiente	jilwectowaya liophis
serpiente	mapaná bothrops asper
liiligo'	cucaracha
bla	morrocoyo de vrbtrs agua
bla	tapaculo
bla	és
mii	das equis witi
mii	sagkwa diitake
ligkwa	líquido de consistencia
ligkwa	num adj tres
ligkwa	refiri grumoso
gru	mosa
gru	ms
telas	num
telas	trozos de papel
sijb	como un gran mabouya
sijb	nom de cuerpo grande
lili	vrb
lis	azulosas tretiosciatus
lis	blancas
lem	sia intege niscatus
liinta'	limpio
lijmanta	vrb
lii	badense objetos desgarrados
lii	cé
lii	impar
lii	refiriéndose a trozos
lii	refiriéndose a vrb
lii	tro
lii	urers
ferne	cé
ferne	gerlos
ferne	lia ves
ferne	o ninos
unra	hupa
bar	badense
bar	nom
bar	o la pringamoza cnidoscolus
bar	un bien consumible jaru
limettu	liligowi nom vrb
cquiv	mojarra amarilla
cquiv	praata
cquiv	venad limuttu ros un
domés	a st garrapatita
domés	a st patoco
domés	cz tico o salvaje
domés	pato
domés	rada
famil	ripear
plano	bibra de queso
lfligoti	al o
lfligoti	alacrá desmenuzar
lfligoti	los troncos de madera
mamife	corzuela
mamife	kkwe pl o rojo
mamife	mazama
mamife	venado
govazou	pisa
soorpio	ón
loorensu	lugga nom nom
loorensukra'	auyama
ammni	juuyamakra
ammni	luggalina kra
ammni	uuyamalkra
lugge'e	araña
ara	araña
ara	auna
ara	basura
ara	neac
ara	nom nom escoba
lugkre'	escob acuta
lugkre'	escoba
tomasitc	araña
tomasitc	pata de tigre
par	especie de arbusto melochia
par	rawa
lugkre	escobilla blanca
lukka'	armadi tío
satisfa	cer una necesidad fisica
lunne'e	nen luxarse
lunne'e	refiriéndose a
lunne'e	troncharse
hrni	troncharse
denotaque	en
denotaque	en el l uutala
denotaque	sobre
aciertos	anda en un burro
aciertos	en
ciertos	a la le
ciertos	bres
ciertos	bres para de
ciertos	denotar que la acción
ciertos	en la mitad de
ciertos	en los limites de
ciertos	en medio de
ciertos	pe mino
familia	in psittacidac
familia	maaduko c nom prést
ame	icana
maajgata	eq c
maajgata	fecar
maajna'	mango
obs	escampar
macj	figur
maaj	extingu gatagawi
maaj	gatagawi
maaj	maajgawi
maaj	maajgawita
maaj	tapaculo
maamasu'	continu nom de paso
odo	relativa ratissima
sabo	sy salados
maarigowi	morroc vrb
maintoorc	caliche
nombre	papose
maatageri	en todo momento
maatageri	siempre
maatukra'	guamo
pana	congo
diiyo	nompr
diiyo	prést
diiyo	throps mannar
majkra	pl magkre batata pron
majnakun	wa
tiempo	de floración del guayacán
mamo	lla
mamo	mannu it el
maññari	borde prést
mara	maní
akke'	de palo
akke'	varias especies de
cás	éruto
wagga	acorta distancia
wagga	rey golero
matta	intg nom cuál congo
perso	espabilarse
perso	spantar
ma'di	vrb
aterri	flexibles como las telas
aterri	las pieles animales
anfibio	rhinella marina
meeta	medicina
meewi	gatoco vrb
miisiri	saíno
mifero	querer
kakke	me gustaría
kakke	miiwiti mesa okowiyude
hablar	pl
narra	ciones
minane	no regresé rápidamente
sar	mana
sar	miiansu
sar	miisi
sar	misa
sar	muiisi
sar	nún felissilvestris catas
sar	por eso algo
scvrpioi	biwiti
scvrpioi	ligkowa
scvrpioi	maaku
scvrpioi	sagirwa diitake
había	vrbtrs nada
nega	nada te ocurrirá
nega	tivamente
minniki	chinchilín
segunc	centro
segunc	futuro
segunc	medio
segunc	mitad
moxri	vrb
cole	hter
cole	sguardo issa oristunna
moo	ascgurar
moo	rekkawa alouatia seniculus
rastro	arará macho
rastro	atardecerse
rastro	bled amar moogowakra saawiri
rastro	bled mujer
lazo	huevo de burro
moomat	mooka prime vrb
poco	conozoo un poco
poco	mente yokowinte
mooña	nom
moota	vrb
moowa	in moore ittiya
humsi	moowe lis
more	ad id sofocante
more	caluroso
qui	vrb
mowíi	jobo
mom	bin
mom	enamorado
mom	fruto demoorowa
mom	in
perspi	cillata
época	asegurar
época	enamorado
época	nieta
imaamaso'	sita de la virgen
imaamaso'	sión
ñaa	producir un olor
ñaa	sobrina
ñaa	t eder
ñaa	ñaa vrb
mujna'	muntimu num nom dos
mujna'	refiriéndose a seres humanos
mujnaya'	nom
mubna'a	muulu naantamunnaagate
munne'eya	p vrb
índice	neque
índice	que se prést
famni	pato
famni	vidac
jattawa	de
meere	minagkreyane weekagaya
meere	no nos enfermado
cobertura	cuero mesa cabelludo
cobertura	árbolmanta
rea	cacrse adentro del agua
rea	en medio de
rea	itad de
rea	prunnimata
kun	adverbio relativo de modo
kun	con un posesivo
kun	morar
kun	naagri vrbint provenir
kun	que
kun	residir
kun	v vivir
naajgriga	mozo
naajmata	naanta na vrb
naantimal	vrb
naakarika	c naare
naakarika	c pararse
naakarika	erguirse
naakarika	estar de pic
naakatimata	s pequeí vrb
naake'	pl vrb
naakiwa	cardón
tetrago	sobrina
domést	azabache
domést	moteno
domést	negro
anima	ahogarse
anima	de les
anima	en por el patio
anima	grandes
anima	les domésticos
anima	objetos macizos kwannakri
anima	objetos yaametuu
anima	plantas
anima	tikri
animales	quiv
nosotros	papayo
hexa	magd sonus
nakasuri	a cada rato
nakasuri	adv raíz
nakasuri	frecuentemente
nakkago'	vrb
rakka	coordi gowi
maajga	frecuentar
maajga	saler
maajga	tener por costumbre
ounol	mento rato
ounol	pausa
bran	no sé cómo amaneceré
kitta	ate nata kiitr r
kitta	canta como un ave
este	nea
este	suegro
negwa	adje para
negwa	adv su
biiya	cuento
biiya	historia
biiya	no cuesta
biiya	nom narración
biiya	taara loc nadie
nene	con ni buura cuando
nene	conjunción coordinativa
juu	kra
juu	loorensukra
juu	nunca
juu	uuyamakra rbita maxima
prést	ad parta olor cobrizo
prést	cocu piu
prést	nim
prést	pavo
prést	pixju maría palitos
prést	pulga
prést	tú viste
nine	plaga
eos	niirati pasad e ona
indetermi	años
nfna	d vrb
nfna	dem nijya ese
nina	dem pasad aquel
pasad	dem plead aquellos
nokenta	pooti adv nom
nokko'	cangrejo
nomesito	nombre de hombre
doowe	dem escuchar
durant	oír
nowera	acaccer
nowera	imp pron acontecer
nowera	ocurrit
nowera	prender
ello	o raye
ello	tamarindo
person	conun calabazos
person	semillas del árbol de
rmuni	esk caca genipa americana
nowe	us burros
precisa	mente vivía así
precisa	nukiwara
ammarati	na kakkeyurade
yug	sur wirinta
mitad	en nuque se mirinta
mitad	en nuquese mirinta
naa	nura naarira
naa	rira
forma	nombt nosotros
'noso	cocinamos
jannu	delasc kwane
jannu	la mad cé
jannu	llegaron rápido unos hombres
adje	agradable
adje	supuestamente bueno
'su	piensas en mí
nyaaya	buche
aye	bejuquillo
aye	tizón
aye	verja
nyattagra	tizón
madu	derrotar a alguien
madu	vencer
nyoodakra'	ají cimarrón
nyoodakra'	mosca
nyuukr	bai aro alegt nyottuwagga
nyuukr	bálsamo
nyuukr	estrella
nyuukr	luceros
glan	um
ñaabri	másigo
ñaabri	name
paali	ñaabru nom rolera roja
ñaakrini	cachito
collin	sit
ubi	lepartamento de magdalena
ñaawikra'	chinchorro
sep	atun
sep	tenatum
ñaaya	buche
ñaaya	comida
sonido	aromo
sonido	bejuquillo
nannaa	ñoo divisar
particu	pobre
particu	pobrecito
particu	querido
okkra	pobre
okkra	querido
nesu	nombre de mujer
sowelu	go
sowelu	y nompli ganado
oogoniri	cocido al humo
oogoniri	oosok ad noa ahumado
oosok	caramba
oosok	excl ni oh
ines	pcrado o dramático
allí	bre de hombre
allí	eter
ter	cé
ter	lamentar
ter	llorar
ter	quejarse
oorisu'	departamento de ter magdalena
ori	bordón
aseve	te
niñ	et soñar
niñ	ñar
esp	ensoñación
esp	santo
esp	sueño
matriz	útero
owe'o	g cuniculus paca
owe'o	guartinaja
owesu	vri afec
paa	pacha
paa	yani
akkwada'	alacrán
refirión	bagre
paalanakra	ñame
paaligru	guacharaca
paala	it er unse
paala	paalinar
paala	peer nar
paala	pigas paalinare
paala	puulinare
paala	tussakrawakra
paala	ñame
paapas	muñeco
padre	ci lia paapasu gruttarj
paapelu	papel motru neda
paapelu	papeles
praata	guinco
paato	no pr a po
paato	noi ra mi hee
paatu	galandria
paatu	guinco
paatu	guineo
acu	paa minata
kajgwra	kuarupretto
kajgwra	nom novakra
kajgwra	paawa russw
kajgwra	patunisa ggwratikiwi
sectos	maría palitos
pag	guacharaca
pag	plag pajarilla
peckru'	nom
aproxima	enero
aproxima	exc damente entre diciembre
aproxima	hter
aproxima	mayo
aproxima	tte entre diciembre
peer	abuelo
peer	anciano
guurisu	ancianos
mayo	peer res
res	guardo
peenarikraz'	nom
aritoro'	sol
arittukra	bonisa
arittukra	en donde cl parastro
peere'	perico
dosea	botón de oro
piinsi	p tomi nom
malifor	pl mara passif
plinsiwa'	fruto piguea ss
pis	basura acumulada desisti yagka
pis	lagartija
pis	restos de alimentos
joogko	erguir wella pekktrata
peññukragga	meleras
pitro	luci goye masajcar
pitro	repasar
pliwa'	garrapatero
pippidal	golondrina
pittiennaka	chupaflor
pittiennaka	espa nompl vendi chupaflor
verdo	reve chupaflor
visto	nom
visto	pavo
visto	yakeka
pojpo'	nom
piuju	pavo
halarob	flexibles como las lianas
halarob	gos
halarob	la a
halarob	las plantas de patilla
halarob	melón
flexi	la
flexi	nompl vrb prést yuca
ydrochae	nón
totear	reventar desde adentro
sonic	burra germinar
sonic	refiriéndose a las plantas
pra'di'	ramoso
clari	los
clari	los radios
cala	biiyu
cala	calabacito
cala	ciertas frutas
cala	guartinaja
cala	nomc kweeru
cala	owerisw canast cho
cala	tivabl bazos
fuego	priimub reventarse
fuego	refiriéndose a objetos
priimub	nos cacral suelo
prigata	vrb
progotiwa	vrb
pronti'	en menor frecuencia
pronti'	estar acostado bocabajo
pronti'	las ollas y
pronti'	niños pequeños
pronti'	refiriéndose a tortugas
proovra	yuca
caerse	adentro de un recinto
general	vrb
vento	oo amarrar
transpor	morrocoyo
sipho	puguta naptera
